distance,top,bottom
10,16.016131,16.023217
9,16.014538,16.023344
6,16.012691,16.022919
5,16.016404,16.020586
4.9,16.002815,16.019667
4.8,16.013285,16.018422
4.75,16.002820,16.019948
4.7,16.001995,16.0018904
4.65,16.005534,16.019095
4.6,16.001697,16.019093
4.5,16.002101,16.019848
4.3,16.004000,16.019695
4,16.014195,16.019631
3.5,15.992068,16.018542
3,16.004570,16.018598
